=20	U+0020	SPACE
=61	U+0061	LATIN SMALL LETTER A
=62	U+0062	LATIN SMALL LETTER B
=63	U+0063	LATIN SMALL LETTER C
=64	U+0064	LATIN SMALL LETTER D
=65	U+0065	LATIN SMALL LETTER E
=66	U+0066	LATIN SMALL LETTER F
=67	U+0067	LATIN SMALL LETTER G
=68	U+0068	LATIN SMALL LETTER H
=69	U+0069	LATIN SMALL LETTER I
=6A	U+006A	LATIN SMALL LETTER J
=6B	U+006B	LATIN SMALL LETTER K
=6C	U+006C	LATIN SMALL LETTER L
=6D	U+006D	LATIN SMALL LETTER M
=6E	U+006E	LATIN SMALL LETTER N
=6F	U+006F	LATIN SMALL LETTER O
=70	U+0070	LATIN SMALL LETTER P
=71	U+0071	LATIN SMALL LETTER Q
=72	U+0072	LATIN SMALL LETTER R
=73	U+0073	LATIN SMALL LETTER S
=74	U+0074	LATIN SMALL LETTER T
=75	U+0075	LATIN SMALL LETTER U
=76	U+0076	LATIN SMALL LETTER V
=77	U+0077	LATIN SMALL LETTER W
=78	U+0078	LATIN SMALL LETTER X
=79	U+0079	LATIN SMALL LETTER Y
=7A	U+007A	LATIN SMALL LETTER Z
=7B	U+007B	LEFT CURLY BRACKET
=7C	U+007C	VERTICAL LINE
=7D	U+007D	RIGHT CURLY BRACKET
=7E	U+007E	TILDE
=80	U+0410	CYRILLIC CAPITAL LETTER A
=81	U+0411	CYRILLIC CAPITAL LETTER BE
=82	U+0412	CYRILLIC CAPITAL LETTER VE
=83	U+0413	CYRILLIC CAPITAL LETTER GHE
=84	U+0414	CYRILLIC CAPITAL LETTER DE
=85	U+0415	CYRILLIC CAPITAL LETTER IE
=86	U+0416	CYRILLIC CAPITAL LETTER ZHE
=87	U+0417	CYRILLIC CAPITAL LETTER ZE
=88	U+0418	CYRILLIC CAPITAL LETTER I
=89	U+0419	CYRILLIC CAPITAL LETTER SHORT I
=8A	U+041A	CYRILLIC CAPITAL LETTER KA
=8B	U+041B	CYRILLIC CAPITAL LETTER EL
=8C	U+041C	CYRILLIC CAPITAL LETTER EM
=8D	U+041D	CYRILLIC CAPITAL LETTER EN
=8E	U+041E	CYRILLIC CAPITAL LETTER O
=8F	U+041F	CYRILLIC CAPITAL LETTER PE
=90	U+0420	CYRILLIC CAPITAL LETTER ER
=91	U+0421	CYRILLIC CAPITAL LETTER ES
=92	U+0422	CYRILLIC CAPITAL LETTER TE
=93	U+0423	CYRILLIC CAPITAL LETTER U
=94	U+0424	CYRILLIC CAPITAL LETTER EF
=95	U+0425	CYRILLIC CAPITAL LETTER HA
=96	U+0426	CYRILLIC CAPITAL LETTER TSE
=97	U+0427	CYRILLIC CAPITAL LETTER CHE
=98	U+0428	CYRILLIC CAPITAL LETTER SHA
=99	U+0429	CYRILLIC CAPITAL LETTER SHCHA
=9A	U+042A	CYRILLIC CAPITAL LETTER HARD SIGN
=9B	U+042B	CYRILLIC CAPITAL LETTER YERU
=9C	U+042C	CYRILLIC CAPITAL LETTER SOFT SIGN
=9D	U+042D	CYRILLIC CAPITAL LETTER E
=9E	U+042E	CYRILLIC CAPITAL LETTER YU
=9F	U+042F	CYRILLIC CAPITAL LETTER YA
=A0	U+2020	DAGGER
=A1	U+00B0	DEGREE SIGN
=A2	U+0490	CYRILLIC CAPITAL LETTER GHE WITH UPTURN
=A3	U+00A3	POUND SIGN
=A4	U+00A7	SECTION SIGN
=A5	U+2022	BULLET
=A6	U+00B6	PILCROW SIGN
=A7	U+0406	CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
=A8	U+00AE	REGISTERED SIGN
=A9	U+00A9	COPYRIGHT SIGN
=AA	U+2122	TRADE MARK SIGN
=AB	U+0402	CYRILLIC CAPITAL LETTER DJE
=AC	U+0452	CYRILLIC SMALL LETTER DJE
=AD	U+2260	NOT EQUAL TO
=AE	U+0403	CYRILLIC CAPITAL LETTER GJE
=AF	U+0453	CYRILLIC SMALL LETTER GJE
=B0	U+221E	INFINITY
=B1	U+00B1	PLUS-MINUS SIGN
=B2	U+2264	LESS-THAN OR EQUAL TO
=B3	U+2265	GREATER-THAN OR EQUAL TO
=B4	U+0456	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
=B5	U+00B5	MICRO SIGN
=B6	U+0491	CYRILLIC SMALL LETTER GHE WITH UPTURN
=B7	U+0408	CYRILLIC CAPITAL LETTER JE
=B8	U+0404	CYRILLIC CAPITAL LETTER UKRAINIAN IE
=B9	U+0454	CYRILLIC SMALL LETTER UKRAINIAN IE
=BA	U+0407	CYRILLIC CAPITAL LETTER YI
=BB	U+0457	CYRILLIC SMALL LETTER YI
=BC	U+0409	CYRILLIC CAPITAL LETTER LJE
=BD	U+0459	CYRILLIC SMALL LETTER LJE
=BE	U+040A	CYRILLIC CAPITAL LETTER NJE
=BF	U+045A	CYRILLIC SMALL LETTER NJE
=C0	U+0458	CYRILLIC SMALL LETTER JE
=C1	U+0405	CYRILLIC CAPITAL LETTER DZE
=C2	U+00AC	NOT SIGN
=C3	U+221A	SQUARE ROOT
=C4	U+0192	LATIN SMALL LETTER F WITH HOOK
=C5	U+2248	ALMOST EQUAL TO
=C6	U+2206	INCREMENT
=C7	U+00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
=C8	U+00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
=C9	U+2026	HORIZONTAL ELLIPSIS
=CA	U+00A0	NO-BREAK SPACE
=CB	U+040B	CYRILLIC CAPITAL LETTER TSHE
=CC	U+045B	CYRILLIC SMALL LETTER TSHE
=CD	U+040C	CYRILLIC CAPITAL LETTER KJE
=CE	U+045C	CYRILLIC SMALL LETTER KJE
=CF	U+0455	CYRILLIC SMALL LETTER DZE
=D0	U+2013	EN DASH
=D1	U+2014	EM DASH
=D2	U+201C	LEFT DOUBLE QUOTATION MARK
=D3	U+201D	RIGHT DOUBLE QUOTATION MARK
=D4	U+2018	LEFT SINGLE QUOTATION MARK
=D5	U+2019	RIGHT SINGLE QUOTATION MARK
=D6	U+00F7	DIVISION SIGN
=D7	U+201E	DOUBLE LOW-9 QUOTATION MARK
=D8	U+040E	CYRILLIC CAPITAL LETTER SHORT U
=D9	U+045E	CYRILLIC SMALL LETTER SHORT U
=DA	U+040F	CYRILLIC CAPITAL LETTER DZHE
=DB	U+045F	CYRILLIC SMALL LETTER DZHE
=DC	U+2116	NUMERO SIGN
=DD	U+0401	CYRILLIC CAPITAL LETTER IO
=DE	U+0451	CYRILLIC SMALL LETTER IO
=DF	U+044F	CYRILLIC SMALL LETTER YA
=E0	U+0430	CYRILLIC SMALL LETTER A
=E1	U+0431	CYRILLIC SMALL LETTER BE
=E2	U+0432	CYRILLIC SMALL LETTER VE
=E3	U+0433	CYRILLIC SMALL LETTER GHE
=E4	U+0434	CYRILLIC SMALL LETTER DE
=E5	U+0435	CYRILLIC SMALL LETTER IE
=E6	U+0436	CYRILLIC SMALL LETTER ZHE
=E7	U+0437	CYRILLIC SMALL LETTER ZE
=E8	U+0438	CYRILLIC SMALL LETTER I
=E9	U+0439	CYRILLIC SMALL LETTER SHORT I
=EA	U+043A	CYRILLIC SMALL LETTER KA
=EB	U+043B	CYRILLIC SMALL LETTER EL
=EC	U+043C	CYRILLIC SMALL LETTER EM
=ED	U+043D	CYRILLIC SMALL LETTER EN
=EE	U+043E	CYRILLIC SMALL LETTER O
=EF	U+043F	CYRILLIC SMALL LETTER PE
=F0	U+0440	CYRILLIC SMALL LETTER ER
=F1	U+0441	CYRILLIC SMALL LETTER ES
=F2	U+0442	CYRILLIC SMALL LETTER TE
=F3	U+0443	CYRILLIC SMALL LETTER U
=F4	U+0444	CYRILLIC SMALL LETTER EF
=F5	U+0445	CYRILLIC SMALL LETTER HA
=F6	U+0446	CYRILLIC SMALL LETTER TSE
=F7	U+0447	CYRILLIC SMALL LETTER CHE
=F8	U+0448	CYRILLIC SMALL LETTER SHA
=F9	U+0449	CYRILLIC SMALL LETTER SHCHA
=FA	U+044A	CYRILLIC SMALL LETTER HARD SIGN
=FB	U+044B	CYRILLIC SMALL LETTER YERU
=FC	U+044C	CYRILLIC SMALL LETTER SOFT SIGN
=FD	U+044D	CYRILLIC SMALL LETTER E
=FE	U+044E	CYRILLIC SMALL LETTER YU
=FF	U+00A4	CURRENCY SIGN
